Probability,Pattern,RiskReward,Volatility,MAE,MFE,EndTradeDrawdown
64.11,Triangle,2.585134269,3.3916,0,444.12,-49.6
65.95,Falling Wedge,1.963800905,2.4487,-92.45,244.32,-97.46
64.28,Falling Wedge,2.807754956,4.3931,-116.18,726.97,-134.03
62.76,Falling Wedge,2.488931665,3.6672,-130.75,217.19,-185.97
62.73,Falling Wedge,2.675810474,3.2211,-228.85,219.86,-220.81
62.91,Falling Wedge,2.930886193,3.5769,-228.56,224.48,-188.01
71.01,Rectangle,2.503863135,3.381,-383.32,205.69,-32.21
64.71,Triangle,3.098510882,4.9573,-43.9,699.95,-61.08
70.73,Channel Down,1.973451327,2.4485,-107.83,267.35,-165.34
71.9,Falling Wedge,3.432142857,3.0526,-406.7,51.37,-458.07
64.18,Triangle,3.22079314,4.5498,0,181.95,-18.46
63.71,Triangle,2.906312918,3.5794,-27.03,579.35,-156.33
68.95,Ascending Triangle,2.719160105,2.6829,-427.76,217.79,-645.55
66.56,Falling Wedge,3.263922518,5.0616,-123.09,845.99,-16.26
64.2,Triangle,9.598272138,16.7998,-59.58,561.83,-177.19
64.93,Triangle,2.025230769,2.4863,-400.4,105,-505.4
64.85,Triangle,2.163510863,2.6046,-615.15,56.35,-671.5
64.23,Triangle,3.041950113,4.2867,-560.86,85.21,-646.07
64.28,Triangle,2.060452865,2.5299,-385,990,-28
69.42,Triangle,2.23697479,2.6396,-561.69,27.62,-589.31
72.55,Channel Down,1.711538462,2.5916,-240.77,848.77,-260.23
69.32,Channel Down,1.216741784,1.9965,-16.2,99.9,-75.6
65.44,Triangle,2.988700565,5.065,-75.95,219.79,-114.82
71.06,Ascending Triangle,1.834343434,2.4282,-155.57,563.03,-51.29
71.24,Ascending Triangle,4.18773224,5.7698,0,36.8,-20.8
64.19,Triangle,3.433808554,3.6958,-7.72,810.73,-72.3
70.39,Ascending Triangle,2.362651226,2.9188,-516.97,57.05,-574.02
64.17,Triangle,1.950477845,2.5724,-22.17,868.17,-123.62
71.82,Channel Down,2.037296037,2.5811,-278.54,258.09,-536.63
64.11,Triangle,2.002610966,2.4272,-234.1,1602.46,-66.38
60.04,Pennant,2.453681729,3.5013,-149.93,635.42,-449.79
70.84,Falling Wedge,2.433357611,2.5587,-112.77,740.41,-37.55
66.07,Falling Wedge,1.937142857,2.4281,-648.41,209.05,-857.46
62.99,Triangle,2.327755759,2.6198,-251.1,1173.9,-221.1
68.38,Triangle,1.967647059,3.0559,-199.85,1418.94,-179.87
70.13,Ascending Triangle,2.050485437,4.2091,-617.2,682.16,-314.01
68.74,Falling Wedge,3.484615385,7.4804,-399.13,1022.97,-385.71
65.4,Ascending Triangle,2.791543027,3.6466,-237.4,179.3,-126.97
66.7,Falling Wedge,2.10255337,2.5138,-914.53,142.31,-1056.84
62.78,Triangle,2.543026706,3.0025,-124.12,735.67,-646.34
67.65,Ascending Triangle,2.482144322,2.6593,-369,1104.9,-389.7
71.67,Channel Down,2.683760684,2.6095,-408.48,422.33,-115.01
65.54,Falling Wedge,1.964349376,2.2892,-512.71,337.31,-850.02
65.62,Falling Wedge,3.19828816,3.499,-858.5,144.92,-1003.42
63.78,Ascending Triangle,2.136111111,3.2477,-595.84,388.59,-129.53
63.8,Triangle,3.572864322,5.9574,-1295.14,0,-1295.14
64.57,Triangle,1.829116648,2.5573,-272.54,2518.04,-312.9
65.24,Triangle,2.106509159,2.9638,-359.05,708.12,-327.24
67.41,Ascending Triangle,2.891764706,4.0212,-167.48,528.2,-360.72
60.38,Pennant,2.468383366,2.6306,-121.3,651.19,-227.41
68.19,Falling Wedge,2.051918736,2.511,-700.62,1128.05,-592.42
70.08,Falling Wedge,2.233653928,2.8859,-1017.66,261.64,-1279.3
63.03,Triangle,2.550704225,2.8792,-566.43,1009.76,-203.71
63.61,Triangle,1.943451651,2.4522,-87.5,954.8,-518
70.52,Falling Wedge,2.010571759,2.4411,-1296.98,95.7,-1392.68
64.2,Triangle,1.903485255,2.3253,-1262.38,257.21,-1519.59
69.47,Falling Wedge,2.095428646,2.4763,-1158.27,0,-1158.27
63.32,Falling Wedge,2.507917174,2.7029,-229.82,2163.84,-298.18
71.81,Channel Down,2.391678623,2.8375,-138.07,1276.75,-36.9
66.22,Falling Wedge,2.884139037,3.5338,-121.75,1502.41,-34.46
69.09,Channel Down,1.871499067,2.3803,-1500.4,105.2,-1605.6
71.17,Falling Wedge,2.290568536,2.4136,-276.2,1170.39,-552.24
63.94,Triangle,2.566737288,2.5276,-1036.31,660.32,-1696.63
63.91,Triangle,2.601958917,2.5384,-1013.73,678,-1691.73
68.33,Falling Wedge,2.796161339,3.584,-459.32,719.48,-237.84
68.03,Channel Down,2.516776091,3.7719,-173.31,1595.68,-300.39
63.86,Channel Down,2.807854545,2.727,-113.25,2211.02,-331.3
66.73,Falling Wedge,2.556114372,2.6609,-460.2,720.2,-280
66.3,Falling Wedge,2.215897939,2.5414,-887.05,555.81,-407.97
71.7,Channel Down,2.195883605,2.5595,-453.07,696.45,-501.88
69.18,Channel Down,2.454780362,2.8012,-124.88,878.97,-733.17
69.12,Triangle,3.346808511,4.5257,-405.99,723.48,-285.18
65.99,Falling Wedge,3.028334485,3.3083,-125.39,1674.52,-441.14
64.06,Triangle,2.453460621,3.2789,-12.4,80.04,-24.37
65.38,Triangle,2.723163454,4.0863,-149.45,701.54,-430.77
70.59,Triangle,1.531147541,2.4216,-569.57,1000.22,-430.65
61.51,Pennant,1.814431732,2.406,-817.23,974.47,-628.76
64.04,Triangle,2.033266129,2.477,-513.19,650.23,-608.28
70.12,Triangle,3.366161616,4.3866,-44.35,601.4,-296.27
63.91,Triangle,2.442818922,2.827,0,633.1,-486.36
62.66,Falling Wedge,2.757469244,3.7353,-1634.01,486.76,-2120.77
67.19,Ascending Triangle,2.3204593,2.8966,-224.55,555.81,-423.63
62.87,Falling Wedge,2.034129693,2.4904,-1445.94,662.11,-2108.05
63.33,Triangle,2.025300127,2.4326,-187.03,612.21,-364.87
64.33,Triangle,3.154558814,3.9254,-1406.91,274.72,-1681.63
63.99,Triangle,2.922946655,4.0649,-769.95,810.44,-798.7
64,Triangle,1.718364645,2.4362,-30.39,720.3,-501.65
64.01,Triangle,3.06364232,4.8187,-1276,125,-1401
66.25,Falling Wedge,3.91818973,6.32,-1134.94,1409.05,-756.11
63.71,Triangle,8.070777856,13.6099,-1064.82,2538.48,-953.55
63.13,Triangle,3.140127389,4.702,-1836.9,233.35,-2070.25
60.87,Pennant,2.088763258,2.4025,-1145.3,1090.7,-378.3
